age,education,experience,jobclass,region,salary
48,College,22,Information,West,35519
28,SomeCollege,6,Information,West,59824
33,SomeCollege,38,Industrial,West,52474
25,HS,2,Industrial,West,45313
21,SomeCollege,11,Information,East,78477
57,HS,6,Industrial,West,51556
21,HS,25,Information,West,20647
42,College,32,Industrial,East,46379
20,HS,36,Information,South,64902
49,<HS,14,Information,West,36102
20,<HS,1,Industrial,East,64392
44,Advanced,6,Industrial,East,35034
46,SomeCollege,31,Industrial,South,70050
49,SomeCollege,3,Information,West,41411
36,College,19,Information,West,44723
38,College,35,Industrial,West,43611
22,HS,31,Information,East,58961
35,College,27,Information,West,77661
45,College,12,Information,West,50222
59,College,0,Information,West,49836
39,HS,34,Information,West,41400
38,College,29,Information,South,25589
23,SomeCollege,35,Information,South,42897
18,HS,24,Industrial,South,31114
22,SomeCollege,15,Information,West,21690
58,<HS,18,Information,West,48845
29,HS,0,Information,East,41861
43,College,4,Industrial,East,70648
63,<HS,21,Information,East,37165
51,SomeCollege,23,Industrial,West,60055
31,SomeCollege,36,Information,South,59762
43,<HS,35,Industrial,South,70056
62,Advanced,35,Information,South,47236
44,HS,3,Information,West,69785
26,HS,35,Industrial,South,58414
43,HS,17,Industrial,East,67089
64,HS,15,Information,East,85912
39,<HS,17,Information,South,48151
64,College,21,Information,East,52562
47,Advanced,1,Industrial,South,44572
60,HS,20,Information,South,73134
34,College,35,Information,East,89069
43,College,38,Information,East,61012
53,College,38,Industrial,East,25848
18,SomeCollege,28,Industrial,East,36753
25,HS,25,Industrial,South,67393
52,HS,20,Information,East,32834
32,College,16,Industrial,East,40992
64,College,15,Industrial,West,40465
39,HS,30,Industrial,East,48842
31,HS,8,Information,East,53850
43,Advanced,30,Information,South,21658
45,College,13,Industrial,South,27088
40,Advanced,36,Information,West,27446
31,College,1,Information,East,29239
41,HS,13,Industrial,East,50240
19,SomeCollege,32,Industrial,East,52918
62,College,34,Industrial,East,65197
43,<HS,38,Industrial,East,58323
31,SomeCollege,19,Information,East,41266
24,College,1,Information,West,53448
20,HS,18,Information,East,65813
64,College,36,Information,East,46589
40,SomeCollege,17,Information,East,45343
63,Advanced,15,Information,West,35825
60,<HS,3,Information,East,37927
64,HS,11,Industrial,West,60283
62,SomeCollege,28,Industrial,South,49942
35,HS,6,Industrial,East,79375
55,College,13,Industrial,West,39849
52,College,11,Industrial,South,61420
32,HS,34,Industrial,West,55796
42,SomeCollege,4,Industrial,West,48659
54,SomeCollege,16,Industrial,South,43467
45,HS,31,Industrial,East,59001
27,Advanced,9,Industrial,East,58140
56,College,16,Information,West,53029
34,College,4,Information,South,56384
56,College,8,Information,East,50547
39,SomeCollege,32,Information,West,25382
43,Advanced,35,Information,South,51265
61,College,35,Information,West,45971
42,College,17,Information,South,79193
34,College,8,Information,East,59500
30,HS,28,Industrial,East,53022
37,College,13,Information,West,56942
42,HS,24,Industrial,East,34653
21,HS,14,Industrial,East,40853
27,HS,5,Information,South,44978
20,Advanced,28,Industrial,East,55826
58,College,14,Information,South,43478
62,College,28,Information,South,42478
35,College,3,Information,West,33982
64,SomeCollege,17,Information,South,50376
53,Advanced,38,Information,East,52483
64,SomeCollege,15,Information,South,56427
39,HS,10,Information,South,39559
51,HS,13,Information,West,55561
64,College,2,Information,East,34395
25,College,37,Industrial,East,46714
57,HS,17,Information,East,54523
61,<HS,19,Information,South,46119
36,College,24,Information,East,26572
59,<HS,37,Information,East,28360
58,College,12,Information,South,53313
54,Advanced,3,Industrial,West,58694
23,SomeCollege,13,Information,West,55089
43,HS,32,Industrial,South,59056
51,College,27,Industrial,West,45791
62,College,36,Information,West,61076
23,SomeCollege,7,Information,West,55040
54,Advanced,33,Industrial,East,40408
50,<HS,4,Industrial,West,57716
39,SomeCollege,4,Information,East,54440
38,College,30,Industrial,West,75087
23,College,8,Industrial,East,70689
23,HS,31,Information,South,48615
21,College,32,Industrial,South,43734
47,SomeCollege,2,Information,West,73386
28,HS,29,Information,East,58273
47,HS,11,Industrial,South,47387
48,College,28,Industrial,South,20164
41,HS,2,Information,South,38667
26,HS,25,Information,South,37624
20,HS,29,Industrial,West,47804
48,College,8,Industrial,East,59277
57,College,25,Industrial,South,61568
54,College,1,Industrial,West,72500
53,HS,2,Industrial,South,63970
41,SomeCollege,3,Information,South,30492
48,SomeCollege,24,Information,South,65450
23,College,12,Information,South,75999
19,Advanced,38,Industrial,West,75257
37,<HS,34,Industrial,East,31807
45,College,22,Information,West,47133
28,<HS,8,Information,West,64414
21,SomeCollege,1,Information,West,32624
32,HS,30,Information,South,24126
23,HS,1,Information,East,54709
47,HS,31,Information,South,39866
55,SomeCollege,17,Information,West,25528
19,HS,12,Information,South,68442
32,College,4,Information,East,52464
28,SomeCollege,9,Information,East,42189
25,<HS,24,Industrial,South,35544
43,College,33,Information,West,52618
62,HS,36,Industrial,South,57731
61,SomeCollege,29,Industrial,West,54888
22,College,6,Information,East,27216
23,HS,5,Information,South,57152
43,<HS,2,Industrial,East,60416
21,HS,12,Industrial,West,44848
36,Advanced,2,Industrial,West,65594
37,SomeCollege,25,Industrial,South,37221
50,College,23,Information,South,69358
37,SomeCollege,5,Information,South,51984
29,HS,11,Information,East,42557
64,SomeCollege,35,Information,West,45223
18,College,1,Information,West,64989
43,HS,10,Industrial,East,53558
31,HS,38,Information,South,59676
55,HS,33,Information,South,66120
54,SomeCollege,25,Industrial,East,42110
28,Advanced,17,Industrial,West,51909
53,<HS,20,Information,West,46633
30,SomeCollege,35,Industrial,West,65255
60,HS,39,Industrial,West,44263
20,Advanced,21,Information,East,50717
50,HS,29,Information,West,84435
23,SomeCollege,29,Information,East,69276
27,College,7,Information,South,34471
22,College,33,Information,East,63529
40,SomeCollege,8,Industrial,West,60331
27,HS,19,Industrial,South,33490
61,HS,39,Industrial,East,48349
19,HS,24,Industrial,East,35784
30,HS,18,Industrial,East,14110
57,SomeCollege,4,Information,South,47810
19,HS,10,Information,East,42408
37,HS,14,Industrial,West,33486
18,College,7,Information,South,49856
54,Advanced,18,Information,South,18190
26,SomeCollege,22,Industrial,East,50619
34,<HS,26,Industrial,West,50230
26,<HS,39,Information,South,60181
28,Advanced,31,Industrial,East,25952
32,HS,25,Information,West,82091
41,<HS,26,Industrial,East,76337
55,SomeCollege,18,Information,East,38401
52,SomeCollege,28,Industrial,South,71896
47,SomeCollege,38,Information,South,62856
48,HS,32,Industrial,East,43408
22,<HS,18,Information,South,40897
61,Advanced,36,Information,South,42031
31,HS,18,Information,West,92395
28,College,32,Information,West,70401
26,College,15,Information,East,46958
51,SomeCollege,22,Information,East,48253
29,HS,6,Industrial,East,62711
52,HS,25,Industrial,East,62054
52,SomeCollege,31,Information,West,35646
18,College,11,Industrial,South,54463
57,Advanced,7,Information,West,41711
39,HS,4,Information,East,52282
46,HS,27,Information,East,49279
25,Advanced,4,Information,West,65264
28,College,25,Information,West,45975
58,College,4,Industrial,East,51774
54,HS,21,Information,South,21828
31,SomeCollege,14,Information,East,54854
47,College,12,Information,West,38322
52,College,27,Industrial,East,27242
38,SomeCollege,32,Industrial,East,66936
54,<HS,22,Industrial,South,49373
22,SomeCollege,32,Industrial,East,18842
36,HS,17,Industrial,East,38245
31,SomeCollege,29,Industrial,East,50075
43,Advanced,25,Information,West,50521
21,HS,15,Industrial,West,42508
42,College,12,Information,South,-479
62,HS,38,Industrial,East,41721
59,College,32,Industrial,West,66065
42,Advanced,25,Industrial,South,71035
35,HS,0,Information,East,40887
57,<HS,37,Industrial,South,78250
25,SomeCollege,1,Industrial,South,25744
56,<HS,5,Information,South,37849
57,College,37,Information,South,63372
31,Advanced,23,Industrial,South,61010
49,SomeCollege,17,Industrial,South,49855
55,HS,26,Information,South,33213
50,SomeCollege,7,Information,East,33173
40,College,27,Information,East,39114
32,<HS,9,Information,South,33824
50,SomeCollege,16,Industrial,East,51960
42,SomeCollege,28,Industrial,South,48615
34,SomeCollege,5,Industrial,East,32579
50,HS,13,Information,West,44676
64,College,21,Industrial,South,10258
19,<HS,5,Information,West,55088
31,HS,25,Information,South,60750
57,College,38,Information,South,36322
57,College,11,Information,West,38204
56,<HS,34,Information,West,53868
23,HS,13,Information,West,51593
23,HS,21,Information,South,61596
20,HS,22,Information,West,38349
24,HS,6,Industrial,West,40091
25,<HS,39,Information,East,46689
59,SomeCollege,24,Industrial,East,34008
32,College,12,Information,West,46362
64,SomeCollege,20,Industrial,West,34253
46,College,9,Industrial,West,56263
50,<HS,8,Industrial,West,35970
47,Advanced,14,Industrial,East,53793
56,College,1,Information,South,71849
44,College,24,Information,West,56423
53,College,12,Information,West,52638
46,Advanced,33,Information,East,29545
55,SomeCollege,33,Information,West,70835
50,HS,34,Industrial,West,66735
54,SomeCollege,37,Information,East,47654
44,College,2,Industrial,West,44238
50,College,5,Industrial,West,37790
21,SomeCollege,18,Industrial,East,76840
39,<HS,2,Industrial,South,61759
19,HS,17,Industrial,West,38623
27,Advanced,38,Information,West,66489
22,SomeCollege,8,Information,South,70087
27,SomeCollege,11,Industrial,East,49681
50,HS,4,Industrial,South,44834
55,HS,2,Industrial,West,35103
30,College,10,Information,South,60611
48,College,29,Industrial,East,43593
64,College,3,Information,West,42973
53,SomeCollege,4,Information,East,49827
62,SomeCollege,0,Information,East,37729
41,HS,26,Information,South,72926
32,College,27,Information,South,64518
46,SomeCollege,28,Information,East,51148
25,SomeCollege,17,Information,East,37231
22,SomeCollege,11,Information,West,38041
46,Advanced,12,Industrial,East,37379
64,<HS,1,Industrial,East,31539
21,College,36,Information,South,54840
29,HS,15,Information,East,40363
62,SomeCollege,23,Industrial,East,39506
19,<HS,34,Information,South,37790
44,HS,21,Information,West,65053
48,SomeCollege,35,Industrial,South,38621
53,<HS,10,Industrial,South,69035
53,SomeCollege,28,Information,East,45684
43,Advanced,34,Information,East,31323
60,HS,14,Information,West,57039
44,College,30,Information,East,63309
22,SomeCollege,15,Information,West,37129
37,College,9,Information,West,50948
28,HS,31,Information,West,54776
27,HS,1,Industrial,West,51434
57,HS,23,Industrial,East,43127
55,<HS,22,Industrial,South,63224
23,HS,1,Industrial,South,46233
25,College,37,Information,East,40914
40,College,30,Industrial,East,23523
64,College,39,Information,West,23663
43,College,25,Information,East,53238
63,HS,28,Industrial,South,48844
60,HS,2,Industrial,East,63311
29,HS,13,Industrial,East,66954
43,HS,24,Information,West,46323
30,SomeCollege,0,Industrial,West,64229
57,SomeCollege,2,Industrial,West,41572
35,HS,25,Information,West,47751
42,HS,17,Information,South,47322
50,College,8,Information,East,73685
64,College,37,Industrial,East,30822
57,HS,22,Information,West,50887
60,Advanced,20,Information,South,39559
29,Advanced,0,Information,South,45514
61,HS,20,Information,East,44873
53,HS,26,Industrial,West,51080
21,SomeCollege,5,Information,East,70203
22,Advanced,35,Industrial,East,78530
54,College,27,Industrial,South,59848
25,HS,16,Industrial,South,35313
59,HS,39,Information,East,47380
45,SomeCollege,2,Information,West,53909
48,SomeCollege,11,Information,West,43896
26,HS,38,Information,East,45843
46,College,11,Information,East,48932
31,College,1,Industrial,West,61583
57,College,21,Information,West,57952
58,College,22,Information,West,40847
39,College,29,Information,East,58892
28,SomeCollege,4,Information,South,75865
40,SomeCollege,8,Industrial,West,27305
18,HS,20,Information,West,43440
63,College,10,Information,West,42299
54,HS,4,Industrial,East,51198
38,College,34,Information,South,22641
43,HS,26,Information,South,70416
63,HS,1,Information,West,50701
53,HS,23,Information,East,54472
40,<HS,30,Information,South,52734
18,College,32,Information,East,42252
57,College,38,Industrial,South,60479
32,SomeCollege,29,Information,West,50078
38,HS,36,Industrial,East,18730
64,<HS,27,Industrial,West,48377
26,<HS,30,Information,South,45836
26,HS,10,Information,South,60451
27,College,22,Information,West,90521
43,HS,1,Industrial,South,55665
58,HS,39,Industrial,West,81796
52,HS,26,Industrial,West,39706
42,HS,34,Information,West,40668
43,SomeCollege,1,Industrial,South,46303
28,SomeCollege,38,Information,East,56377
55,HS,36,Information,West,40390
19,<HS,20,Information,East,25822
24,HS,4,Information,South,50345
35,HS,20,Information,South,32855
44,HS,28,Industrial,East,66737
51,Advanced,19,Industrial,West,59658
44,SomeCollege,37,Industrial,South,38607
34,SomeCollege,19,Information,West,56836
60,SomeCollege,24,Industrial,West,41777
61,SomeCollege,1,Information,East,49217
41,SomeCollege,31,Information,South,49374
42,College,25,Information,East,44965
24,College,5,Information,South,62460
23,HS,2,Information,East,33212
41,SomeCollege,32,Information,South,58054
50,SomeCollege,0,Information,South,54567
46,College,4,Industrial,South,28931
60,SomeCollege,12,Information,West,38083
39,SomeCollege,18,Industrial,West,33591
43,HS,11,Industrial,East,44503
45,SomeCollege,24,Information,East,50726
38,HS,34,Industrial,South,36074
24,HS,11,Information,South,64536
34,HS,29,Industrial,West,65866
37,College,4,Information,West,68516
58,HS,33,Industrial,West,9229
37,HS,21,Industrial,East,79222
39,College,38,Industrial,West,52490
45,HS,12,Industrial,East,50709
57,SomeCollege,2,Information,West,48471
24,SomeCollege,19,Information,West,30181
18,<HS,30,Information,South,55396
49,College,4,Information,East,74179
30,<HS,23,Information,West,52310
47,SomeCollege,39,Industrial,South,33273
40,SomeCollege,32,Information,East,27120
36,SomeCollege,7,Industrial,East,45589
49,College,23,Industrial,West,38839
47,HS,19,Information,East,60538
46,<HS,15,Industrial,South,70556
62,College,11,Information,South,57044
46,SomeCollege,12,Industrial,East,48723
47,College,38,Information,South,48012
33,College,24,Information,East,51066
57,College,31,Information,South,32600
36,SomeCollege,23,Information,East,59033
35,HS,8,Information,East,33787
18,College,39,Information,East,66742
31,SomeCollege,22,Information,South,44551
64,HS,12,Industrial,East,62462
19,College,31,Information,East,27900
45,College,14,Information,West,62356
47,SomeCollege,35,Industrial,West,70437
55,<HS,4,Industrial,East,30776
21,HS,21,Industrial,West,48297
18,College,15,Information,East,55023
25,Advanced,9,Information,West,55758
46,HS,23,Information,South,44906
56,<HS,17,Information,South,42262
20,College,17,Industrial,East,53798
49,HS,6,Information,East,55288
27,SomeCollege,3,Industrial,South,40588
27,Advanced,25,Information,South,37624
36,<HS,4,Industrial,West,68170
63,SomeCollege,15,Information,East,51615
51,<HS,34,Industrial,South,15924
50,HS,25,Industrial,South,68262
40,College,17,Industrial,East,41042
45,SomeCollege,28,Information,West,51001
49,Advanced,22,Information,West,55622
24,SomeCollege,13,Industrial,West,27744
46,HS,14,Information,West,45667
25,HS,32,Information,South,69763
18,HS,24,Information,East,66340
20,HS,20,Information,East,45644
41,<HS,16,Information,South,60737
40,HS,22,Information,South,62712
25,SomeCollege,16,Information,South,61947
64,College,13,Information,East,32809
54,College,28,Information,East,74617
20,College,19,Information,East,43042
50,<HS,29,Information,West,51640
45,HS,18,Industrial,South,44730
64,College,38,Industrial,South,53446
25,SomeCollege,12,Industrial,South,37036
51,<HS,17,Industrial,East,46623
52,College,22,Information,South,52741
49,College,32,Industrial,South,68369
41,SomeCollege,38,Information,West,66558
31,<HS,39,Industrial,East,67318
49,College,17,Information,South,63029
63,SomeCollege,8,Industrial,East,77700
60,College,32,Information,East,45647
33,College,31,Information,East,47633
21,College,16,Industrial,West,47015
54,SomeCollege,18,Information,East,49083
38,HS,26,Information,East,28456
31,College,5,Information,East,53971
48,SomeCollege,34,Information,South,57440
35,College,36,Information,West,46138
24,HS,33,Industrial,South,23639
27,HS,19,Information,West,50321
24,College,24,Information,West,30579
50,College,3,Information,East,56409
40,Advanced,9,Industrial,East,51789
38,College,9,Industrial,South,53260
36,SomeCollege,23,Industrial,West,34084
36,College,20,Industrial,East,68923
53,College,10,Industrial,East,52553
46,SomeCollege,26,Industrial,East,36286
35,SomeCollege,15,Industrial,East,58694
19,HS,25,Information,South,51466
18,SomeCollege,29,Industrial,South,77553
64,College,15,Information,East,41706
22,HS,6,Industrial,East,31286
37,HS,15,Industrial,East,54340
28,HS,34,Industrial,East,65183
59,HS,15,Industrial,East,84844
19,HS,39,Information,West,101279
20,SomeCollege,11,Information,West,26719
40,Advanced,34,Information,West,47971
29,SomeCollege,20,Industrial,West,31336
37,HS,35,Industrial,East,46289
22,<HS,16,Industrial,West,87158
54,College,31,Industrial,West,37704
55,HS,5,Industrial,South,49670
47,College,23,Industrial,West,41287
26,College,26,Industrial,West,34950
51,College,19,Industrial,East,76891
61,HS,24,Industrial,West,26911
52,College,1,Information,West,48762
39,HS,8,Industrial,East,51319
61,Advanced,27,Information,West,49504
41,SomeCollege,37,Information,East,45264
34,HS,2,Industrial,West,74215
27,HS,19,Information,South,18321
47,HS,5,Industrial,South,56546
63,College,38,Information,West,57214
40,HS,32,Information,South,54304
49,SomeCollege,0,Information,East,37537
34,HS,36,Information,West,68075
34,College,5,Information,East,67324
31,College,33,Information,South,37008
26,College,14,Information,East,32031
57,College,25,Information,South,29133
19,HS,13,Information,South,53381
62,<HS,6,Industrial,South,50701
42,College,30,Information,East,44583
56,HS,23,Industrial,South,81219
26,SomeCollege,30,Industrial,West,43083
39,<HS,28,Information,South,52812
60,HS,31,Industrial,West,47085
63,<HS,16,Industrial,West,79446
21,College,13,Industrial,West,20154
43,HS,39,Information,West,45351
46,SomeCollege,35,Industrial,East,59213
62,<HS,23,Industrial,West,46664
51,College,26,Information,South,30435
40,HS,24,Information,West,52648
54,College,31,Information,South,25680
28,College,17,Industrial,East,60053
23,HS,17,Information,West,43801
35,Advanced,36,Industrial,South,41277
38,Advanced,25,Information,East,65692
59,College,8,Industrial,East,34951
53,College,34,Information,South,26863
58,HS,7,Information,West,36342
55,SomeCollege,19,Information,East,80705
51,<HS,21,Information,South,34944
34,<HS,18,Information,West,55482
54,Advanced,29,Information,East,62650
42,HS,27,Information,South,35903
55,College,34,Industrial,East,35923
29,College,10,Industrial,East,52702
40,College,30,Information,South,53379
59,Advanced,38,Information,East,70214
39,HS,35,Information,South,38461
38,<HS,29,Industrial,West,44341
44,SomeCollege,22,Information,South,92575
48,HS,18,Information,West,23110
23,<HS,11,Information,East,20034
44,HS,14,Industrial,South,29254
57,College,30,Information,South,66524
51,SomeCollege,36,Industrial,South,43425
29,HS,36,Information,South,43420
62,College,14,Information,West,35521
24,HS,28,Information,West,63776
27,<HS,25,Information,East,29486
62,College,1,Information,East,41277
34,SomeCollege,19,Information,East,36115
43,College,14,Information,East,9915
38,<HS,3,Information,South,42826
45,College,21,Information,West,49112
63,SomeCollege,37,Industrial,West,38367
19,SomeCollege,22,Information,West,45975
60,SomeCollege,25,Industrial,West,46360
18,College,10,Information,East,48004
53,SomeCollege,27,Information,South,34189
43,SomeCollege,1,Information,West,33327
46,Advanced,7,Information,South,50704
38,College,28,Information,South,27858
28,SomeCollege,10,Information,South,46788
57,College,36,Industrial,South,74532
28,HS,17,Information,West,49417
53,HS,13,Information,West,22601
56,SomeCollege,9,Information,West,52697
57,Advanced,34,Information,East,62277
52,Advanced,8,Industrial,West,38070
51,HS,34,Information,East,45515
64,SomeCollege,10,Information,East,36834
41,HS,11,Information,East,43067
39,Advanced,2,Information,West,40016
22,Advanced,38,Industrial,West,56535
50,SomeCollege,13,Industrial,West,74873
53,College,27,Information,East,50858
64,College,10,Information,East,26873
37,SomeCollege,38,Industrial,South,87941
36,<HS,24,Information,East,58743
52,SomeCollege,20,Information,East,61797
60,College,9,Industrial,West,49044
34,College,14,Information,South,53490
62,HS,18,Information,South,44872
60,Advanced,21,Information,South,63555
51,HS,20,Industrial,West,42838
26,SomeCollege,31,Information,South,57340
43,College,22,Industrial,South,64541
19,College,12,Industrial,West,68689
26,SomeCollege,4,Information,South,65479
26,HS,3,Information,East,34646
57,HS,27,Information,East,73591
34,SomeCollege,13,Information,East,59963
18,SomeCollege,7,Industrial,East,54583
42,HS,8,Information,East,56313
60,College,34,Information,East,47624
57,SomeCollege,36,Industrial,East,43000
59,College,20,Information,East,44472
42,College,17,Industrial,East,69321
56,HS,32,Industrial,West,51215
52,<HS,7,Information,West,54225
20,College,16,Information,East,50902
54,SomeCollege,30,Industrial,West,39981
61,College,33,Industrial,West,17797
61,College,5,Information,East,61530
47,College,21,Information,East,59941
55,Advanced,13,Information,West,49828
51,SomeCollege,2,Information,East,33646
29,SomeCollege,11,Information,East,77312
36,SomeCollege,35,Information,East,44882
54,HS,11,Information,East,53723
61,SomeCollege,1,Information,West,39452
34,HS,1,Industrial,South,29754
27,Advanced,14,Industrial,West,58844
64,SomeCollege,22,Information,South,27487
29,SomeCollege,28,Information,South,53435
33,HS,16,Information,South,53479
41,<HS,31,Information,West,33203
36,<HS,6,Industrial,West,30553
25,SomeCollege,29,Information,West,38443
48,<HS,27,Industrial,West,40586
38,SomeCollege,13,Information,West,27053
34,College,29,Industrial,South,33122
40,College,16,Information,West,51138
54,College,31,Information,South,79844
33,HS,5,Information,West,65114
23,College,23,Industrial,West,52407
25,College,5,Industrial,East,66925
42,HS,26,Industrial,South,67331
35,College,17,Industrial,West,45425
42,HS,23,Industrial,West,53868
29,College,36,Information,West,64668
32,Advanced,23,Information,East,66717
43,<HS,37,Industrial,South,66861
58,College,33,Industrial,West,34594
62,SomeCollege,39,Industrial,West,67625
43,Advanced,14,Information,West,77871
64,SomeCollege,10,Information,East,72401
49,College,21,Industrial,West,33717
27,<HS,23,Information,South,29945
33,HS,0,Information,South,56978
24,<HS,17,Industrial,South,72122
34,Advanced,11,Industrial,South,53392
40,College,27,Information,West,46475
43,College,39,Industrial,East,48647
38,Advanced,6,Industrial,East,65307
39,<HS,22,Industrial,East,45175
24,HS,20,Industrial,West,57214
31,<HS,33,Information,East,48044
32,HS,10,Information,South,36674
24,HS,21,Information,West,35499
26,SomeCollege,34,Information,East,57879
25,HS,28,Information,South,9418
40,HS,27,Information,South,57188
46,HS,17,Information,West,47440
35,HS,13,Information,West,64191
48,Advanced,17,Information,East,59021
47,College,27,Industrial,East,50669
56,Advanced,23,Information,East,33989
52,SomeCollege,7,Information,West,34801
35,HS,7,Information,East,40325
59,College,3,Information,East,63028
56,HS,26,Industrial,South,76530
34,HS,35,Information,South,54948
31,HS,4,Information,South,41161
48,HS,32,Information,East,42724
41,HS,33,Information,West,43414
52,HS,29,Information,South,65601
61,College,7,Information,West,43121
62,<HS,38,Information,East,49344
51,HS,25,Industrial,East,70171
20,College,36,Industrial,South,41487
54,HS,33,Information,West,58355
60,HS,6,Information,South,63506
57,College,39,Information,East,50951
43,HS,27,Information,West,79311
40,<HS,38,Information,South,74981
61,SomeCollege,38,Industrial,East,53946
56,HS,27,Information,South,37942
32,SomeCollege,13,Industrial,West,38651
21,College,37,Information,West,53189
46,HS,3,Industrial,West,33649
39,SomeCollege,17,Industrial,West,54034
42,SomeCollege,24,Industrial,West,75321
30,HS,6,Information,South,50937
35,SomeCollege,37,Industrial,South,49715
50,HS,27,Industrial,South,62797
33,SomeCollege,4,Industrial,South,57872
62,<HS,2,Information,East,32775
59,SomeCollege,30,Industrial,East,43171
61,HS,19,Information,South,78409
19,College,18,Information,East,54881
52,<HS,10,Industrial,East,34903
59,SomeCollege,39,Information,West,47122
51,SomeCollege,2,Information,South,23261
47,College,22,Information,East,22137
30,SomeCollege,6,Industrial,East,64734
30,College,22,Information,South,49932
35,College,6,Information,West,57783
49,College,33,Information,South,67368
49,HS,18,Industrial,West,55092
52,SomeCollege,8,Information,East,60996
56,College,17,Industrial,West,53859
63,Advanced,24,Information,West,69295
46,College,13,Industrial,South,76601
46,HS,24,Industrial,East,52993
61,HS,18,Information,South,52364
33,SomeCollege,38,Information,South,54802
61,College,14,Industrial,East,48417
64,SomeCollege,15,Information,South,43995
27,SomeCollege,26,Information,South,65725
47,College,39,Industrial,West,44016
42,HS,9,Industrial,South,43150
56,College,3,Information,East,63475
37,SomeCollege,18,Information,South,64626
22,HS,27,Information,West,85002
18,SomeCollege,20,Information,South,68294
47,College,13,Industrial,South,62405
20,HS,32,Industrial,South,64570
62,HS,9,Industrial,West,47781
31,Advanced,18,Information,East,58433
47,HS,29,Information,East,59144
21,SomeCollege,21,Information,West,41868
35,SomeCollege,2,Information,West,49265
54,SomeCollege,36,Industrial,South,64285
42,SomeCollege,17,Information,East,49722
18,HS,10,Industrial,West,59173
63,SomeCollege,1,Industrial,East,63451
32,HS,11,Industrial,South,62752
26,College,5,Industrial,West,75959
32,HS,39,Industrial,East,41280
41,SomeCollege,28,Information,East,74637
21,HS,29,Information,South,57114
29,HS,1,Information,West,62510
54,HS,8,Information,East,60454
54,HS,1,Industrial,South,59695
60,College,28,Industrial,East,40439
23,HS,32,Information,South,61959
56,Advanced,9,Information,East,28417
63,Advanced,33,Information,East,81428
41,SomeCollege,7,Industrial,South,55727
28,HS,36,Industrial,West,67399
30,HS,32,Industrial,South,60227
51,College,5,Information,West,50548
42,HS,39,Information,East,41888
24,<HS,18,Industrial,East,39044
21,SomeCollege,31,Industrial,South,61690
25,College,26,Information,South,60904
37,College,0,Industrial,West,58376
46,HS,32,Information,West,48233
62,College,39,Industrial,West,56198
63,HS,31,Industrial,South,43657
27,HS,4,Industrial,East,39787
60,College,16,Information,South,45840
51,HS,7,Information,East,46500
43,HS,33,Industrial,South,71963
58,<HS,8,Industrial,South,29524
20,College,22,Information,West,49504
23,College,34,Industrial,East,59485
22,SomeCollege,6,Information,South,79783
22,College,14,Industrial,South,40888
64,HS,19,Industrial,East,33261
40,SomeCollege,24,Information,South,60844
26,HS,2,Information,East,52472
52,<HS,23,Information,West,46688
37,SomeCollege,33,Information,West,56564
59,Advanced,21,Information,East,62927
52,<HS,10,Industrial,West,61055
35,HS,7,Industrial,East,54525
34,HS,38,Information,South,69752
41,HS,34,Information,South,52960
20,Advanced,37,Information,East,50646
49,SomeCollege,7,Information,South,60708
52,SomeCollege,36,Information,West,31092
55,College,26,Industrial,South,59236
30,HS,27,Industrial,South,45451
64,SomeCollege,39,Information,East,30050
42,SomeCollege,33,Industrial,West,56377
26,SomeCollege,31,Industrial,South,43125
21,Advanced,14,Information,South,25782
31,College,16,Industrial,East,36932
54,HS,32,Industrial,East,75344
51,College,15,Information,West,41649
28,HS,28,Information,South,54844
58,<HS,8,Industrial,East,33738
20,HS,32,Industrial,East,81513
45,HS,28,Information,East,51040
46,SomeCollege,12,Information,West,39739
26,SomeCollege,20,Information,East,63276
20,Advanced,20,Industrial,West,80752
42,SomeCollege,4,Information,West,43876
51,SomeCollege,9,Industrial,South,39439
29,<HS,5,Information,South,84427
59,<HS,12,Information,West,48159
26,SomeCollege,0,Information,South,46450
32,SomeCollege,19,Information,South,17834
57,College,7,Information,East,49495
42,HS,9,Information,South,29660
22,<HS,8,Information,West,41598
28,SomeCollege,2,Information,South,19785
51,HS,10,Information,East,68527
41,<HS,11,Information,West,28000
32,College,9,Industrial,South,20888
55,HS,24,Industrial,West,36376
25,SomeCollege,24,Industrial,South,68710
22,HS,10,Information,East,43325
43,HS,35,Information,South,45331
35,HS,38,Information,West,57176
23,College,25,Information,West,47725
54,HS,13,Industrial,West,68569
30,College,38,Information,South,46405
45,HS,39,Information,South,46651
22,College,0,Information,South,83962
30,HS,3,Industrial,East,50827
34,College,29,Industrial,East,53458
57,SomeCollege,11,Information,East,46843
62,Advanced,34,Information,West,13576
49,HS,12,Industrial,West,63093
46,<HS,30,Industrial,West,74907
20,<HS,37,Information,West,68835
57,College,22,Information,West,41628
51,SomeCollege,3,Industrial,South,47401
57,College,15,Industrial,West,55237
44,HS,6,Information,South,54709
30,HS,21,Information,East,60214
62,<HS,28,Industrial,East,53045
50,Advanced,10,Industrial,East,44580
23,College,32,Industrial,East,52054
41,Advanced,28,Industrial,East,64981
36,HS,38,Information,West,93744
33,SomeCollege,11,Industrial,West,42515
57,College,6,Information,West,53393
45,HS,38,Industrial,East,44550
50,College,25,Information,East,54613
58,Advanced,39,Industrial,South,64634
30,College,8,Information,West,46878
60,College,33,Information,East,19309
62,HS,12,Information,East,65428
42,HS,35,Industrial,East,51956
