edad_cliente,tiempo_como_cliente_meses,ingresos_mensuales,visitas_mensuales_sitio_web,contactos,nivel_educativo,uso_tarjeta_credito,participa_en_promociones,calificacion_satisfaccion,descuento_promedio_usado,ventas_cliente
57,12,2990,9,4,4,0,1,5,0.28,405.03
23,76,2590,7,3,2,1,1,4,0.13,473.05
64,97,3260,4,4,1,0,1,3,0.12,521.99
65,68,2160,9,1,1,1,1,4,0.15,338.52
69,47,2750,8,2,4,1,1,4,0.23,532.01
36,21,3330,5,0,2,0,0,4,0,270.6
28,118,2890,2,0,3,1,1,2,0.21,666.94
59,50,2710,2,0,1,1,1,4,0.11,649.55
26,103,2080,8,2,1,0,1,3,0.19,389.65
64,71,2220,7,0,1,0,1,5,0.11,636.2
60,71,2200,2,2,1,1,1,1,0.09,274.19
59,116,3770,5,2,1,0,1,4,0.05,382.66
23,42,2570,7,2,1,0,1,4,0.06,311.49
69,46,3620,3,2,4,1,1,5,0.12,396.67
51,10,3990,8,1,3,0,1,3,0.27,577.27
57,49,1820,9,3,3,1,0,3,0,383.7
61,96,2540,1,1,1,0,1,5,0,554.73
65,71,3910,4,0,1,0,1,1,0.12,596.31
29,54,1930,10,2,3,1,1,5,0.17,278.17
27,100,3110,6,4,3,0,1,3,0.11,231.81
64,48,3750,4,2,1,0,1,4,0.18,657.21
38,118,3990,4,1,2,0,1,3,0.27,548.39
67,42,3090,6,1,2,1,1,5,0.22,420.86
24,97,2230,4,1,4,0,1,3,0.22,541.67
64,97,3470,4,1,4,1,1,3,0.26,606.28
62,88,3350,2,5,3,0,1,5,0.28,697.05
38,28,3180,3,3,4,0,1,3,0.29,487.45
37,85,3590,6,3,4,1,1,1,0.15,466.65
50,79,1750,8,1,2,1,0,4,0,339.47
67,110,3150,5,3,1,1,1,2,0.29,535.67
25,28,2510,3,4,3,1,1,4,0.16,-5.68
42,22,800,7,0,2,1,1,5,0.09,363.17
19,94,3650,5,1,1,1,1,2,0.2,622.02
20,103,2580,5,3,2,0,1,3,0.22,501.69
46,34,3240,4,2,2,0,1,3,0.11,292.03
63,107,2670,6,3,3,1,1,1,0.22,623.85
33,50,3320,4,1,4,1,1,4,0.09,447.27
29,18,2740,6,1,2,1,0,4,0,334.3
51,119,3110,9,2,1,1,1,4,0.03,682.7
31,75,3120,5,3,4,1,1,1,0.09,315.97
36,45,3120,4,1,1,1,1,1,0.08,129.05
24,1,3050,5,1,1,0,1,3,0.11,134.39
67,119,2840,8,2,1,1,1,3,0.28,754.01
31,4,4200,9,2,3,0,1,4,0.23,420.34
57,20,3060,5,0,1,0,1,4,0.26,557.36
22,59,3140,4,0,1,1,1,4,0.24,491.52
26,84,2400,6,0,4,1,0,5,0,415.81
55,66,4280,3,2,2,1,1,4,0.07,408.16
50,67,1900,2,3,4,1,0,1,0,385.57
50,78,2600,3,2,1,0,1,2,0.12,365.34
23,57,1240,4,2,2,1,1,4,0.04,295.77
55,86,2110,7,2,2,0,1,5,0.23,675.79
56,2,2410,4,2,3,1,1,4,0.14,288.4
19,48,2140,7,4,3,0,1,3,0.11,254.7
57,9,3450,5,2,2,0,1,4,0.06,646.52
66,3,3050,10,3,1,0,1,4,0.04,362.7
21,52,3410,5,1,2,0,0,5,0,332.22
52,30,2760,4,2,4,0,0,3,0,405.59
69,46,3380,4,1,1,0,1,5,0.13,623.32
67,87,2670,4,1,4,1,1,4,0.22,592.76
63,43,5020,2,1,2,1,1,5,0.19,573.22
39,72,4040,8,0,3,1,1,4,0.11,633.5
51,87,2350,5,5,3,0,1,4,0.04,429.51
28,80,2960,6,2,4,1,1,4,0.03,403.32
31,63,1910,1,3,1,1,1,2,0.14,220.03
52,108,3950,2,3,2,1,1,3,0.27,784.04
34,32,3200,8,3,4,1,1,1,0.14,318.16
19,106,3610,5,1,3,0,1,5,0.03,444.77
32,53,3550,6,3,2,1,1,4,0.11,475.69
64,86,3290,3,2,2,1,1,1,0.05,413.08
62,35,3630,4,0,3,1,1,3,0.16,526.66
23,18,2280,7,2,2,0,1,3,0.05,375.63
48,82,3860,3,0,1,0,1,1,0.13,408.5
48,40,3370,3,2,2,0,1,3,0.11,563.69
66,21,3390,4,1,3,1,1,3,0.28,311.18
46,111,3750,7,2,4,0,0,3,0,553.08
52,82,2210,2,4,3,0,1,2,0.26,377.52
64,89,2920,7,0,3,1,1,3,0.07,370.21
33,110,4090,6,0,1,0,1,2,0.27,573.63
67,60,3630,6,2,1,0,1,1,0.14,489.17
66,110,2790,6,2,4,1,1,4,0.26,686.27
21,119,2680,7,2,2,1,1,5,0.2,625.44
31,47,2750,7,4,3,0,1,4,0.13,500.42
58,93,2230,4,2,2,0,1,3,0.04,504.85
39,44,3570,8,3,3,1,1,5,0.23,646.35
34,60,4000,10,2,1,0,1,5,0.1,590.95
31,43,2600,5,0,2,0,1,4,0.1,305.07
33,84,3610,5,3,2,1,1,2,0.26,495.67
57,106,4840,4,3,4,0,0,4,0,636.73
21,111,4460,6,4,4,1,1,5,0.04,330.8
30,107,2930,7,2,1,1,1,1,0.22,462.83
32,22,2920,4,2,3,1,1,5,0.19,423.48
18,20,1900,3,2,2,0,1,4,0.2,285.52
48,77,3850,8,2,2,1,1,2,0.21,599.97
37,27,2530,7,4,2,1,1,1,0.13,47.16
32,48,2700,6,1,4,0,1,4,0.14,405.83
31,25,2590,0,2,3,1,1,4,0.1,442.89
45,35,2230,4,1,3,0,1,5,0.27,436.23
22,43,2850,7,3,3,1,0,5,0,381.52
28,85,3390,8,6,4,1,1,3,0.14,618.16
61,30,3150,2,3,3,0,1,4,0,386.18
44,85,2510,2,2,1,1,1,4,0.11,463.06
48,27,1950,4,1,1,1,1,4,0.15,394.84
35,74,2570,6,4,3,1,0,1,0,276.16
25,63,3630,6,2,4,1,1,5,0.12,410.39
51,48,3280,5,3,3,0,1,4,0.18,353.32
27,9,2460,4,2,4,1,0,4,0,363
65,18,1810,5,1,3,0,1,2,0.03,458.46
62,34,1620,4,1,4,0,1,3,0.16,356.84
37,88,3890,3,0,1,1,1,5,0.19,332.04
62,10,4190,4,2,3,0,1,5,0.15,454.48
36,27,5130,6,4,3,0,1,3,0.05,534.29
20,72,3490,2,3,1,0,1,4,0.29,336.59
62,16,2400,8,1,4,0,1,2,0.02,338.82
38,16,4680,7,3,3,0,1,4,0.18,454.75
67,2,3460,3,5,3,1,1,4,0.09,496.67
63,116,2480,3,1,4,1,1,1,0.19,646.69
22,117,3770,5,3,2,1,1,5,0,566.86
68,108,3650,1,0,4,1,1,2,0.04,548.96
37,53,2970,5,1,1,0,1,2,0.17,240.91
59,87,2700,3,2,4,1,1,3,0.05,455.26
44,23,3500,8,1,4,0,1,1,0.22,443.65
68,49,3230,5,2,4,0,1,3,0.08,479.56
52,18,2960,4,1,1,0,1,5,0.27,349.41
50,31,4580,3,1,4,0,1,4,0.13,309.83
51,24,2700,7,1,1,1,1,4,0.08,539.62
61,41,4000,1,1,4,0,0,2,0,360.22
27,51,1810,5,1,3,1,0,4,0,325.28
47,98,3900,2,2,3,0,0,4,0,588.33
56,46,2460,4,3,2,0,1,1,0.11,457.36
60,69,3470,3,3,4,1,1,1,0.15,752.61
20,44,3850,4,0,3,1,1,5,0.04,232.61
68,83,3770,3,1,3,0,1,4,0.24,534.07
32,67,4100,6,1,1,0,1,4,0.19,564.75
24,52,2340,2,1,1,0,0,1,0,159.54
21,11,3230,4,2,4,1,1,5,0.08,386.74
66,53,3960,1,0,4,0,0,4,0,457.19
44,24,2670,4,3,3,1,1,4,0,363.42
69,7,3200,8,4,2,0,1,1,0.06,291
20,1,1240,5,0,4,0,0,1,0,174.04
27,42,4950,5,1,4,1,1,3,0.06,351.61
18,5,2880,4,2,4,1,1,5,0.14,242.26
65,107,2180,5,0,4,1,1,1,0.26,581.92
31,56,3600,2,1,1,1,1,3,0.22,441.96
38,85,2820,7,2,1,0,1,2,0.03,452.98
55,58,3210,2,2,4,1,1,5,0.24,499.56
52,79,2940,3,4,3,1,1,3,0.19,672.84
51,83,3750,7,0,4,0,1,2,0.17,507.88
40,4,3530,6,0,2,1,1,4,0.27,392.29
52,103,3310,6,1,1,1,1,5,0.02,592.72
37,102,1720,3,1,1,0,1,2,0.22,370.26
20,99,3570,7,1,1,0,1,4,0.1,500.95
51,45,1660,9,2,2,0,1,4,0.17,355.93
60,53,2120,8,0,4,1,0,3,0,339.66
36,45,3010,5,2,3,1,1,2,0.12,376.03
25,11,2620,4,4,3,1,1,5,0.28,248.76
66,104,2750,6,0,2,1,1,4,0.05,691.12
35,61,2680,9,4,4,0,1,1,0.12,417.39
31,86,3590,2,1,2,1,1,3,0.05,466.75
28,58,3390,5,2,2,0,0,2,0,339.11
55,60,2840,8,2,3,1,1,5,0.03,587.81
44,83,1780,5,4,3,1,1,5,0,416.89
26,51,3470,5,1,4,0,0,1,0,329.74
51,30,4490,5,1,3,0,1,4,0.08,444.24
67,110,2730,3,2,3,1,1,2,0.14,641.59
35,85,3540,7,1,1,1,1,4,0.13,532.41
44,6,2540,4,2,1,0,1,2,0.26,358.76
50,9,2750,5,4,1,1,1,4,0.04,428.62
43,10,3340,6,2,3,0,0,5,0,303.96
56,50,3070,4,1,2,1,1,5,0.05,407.44
31,98,3420,5,1,3,1,1,5,0.26,397.92
60,51,3030,3,2,1,0,1,2,0.01,471.39
67,8,2660,7,0,4,0,1,2,0,201.64
46,56,3610,3,5,1,1,1,2,0.17,628.93
65,83,2190,7,1,1,1,1,4,0.08,611.2
57,94,3220,7,3,3,1,1,4,0.05,594.55
28,112,3590,8,7,1,1,1,1,0.09,553.24
43,101,3020,5,1,4,0,1,4,0.07,359.4
23,20,3430,5,3,2,1,1,4,0.15,333.09
49,18,3570,4,2,3,1,1,4,0.03,459.77
18,75,3140,1,1,3,0,1,4,0.19,339.55
61,94,2000,4,1,1,1,0,5,0,349.77
69,88,3130,6,1,1,0,1,3,0.07,601.44
59,97,3480,6,2,3,0,1,4,0.3,542.6
21,9,3190,2,3,3,0,1,2,0.02,86.33
48,83,2920,8,3,3,1,1,4,0.13,331.42
26,46,3380,5,0,4,1,1,4,0.01,414.68
21,117,2470,6,2,4,0,0,4,0,534.02
34,107,3500,2,3,4,1,1,3,0,572.54
51,6,4190,3,3,2,0,1,4,0.23,503.77
62,118,2220,2,3,3,1,1,4,0.28,640.67
33,59,3200,6,1,4,0,1,5,0.28,630.25
46,91,3850,4,3,3,0,1,3,0.25,383.15
34,115,2310,3,3,4,1,1,5,0.06,568.12
44,45,2910,7,2,2,0,1,3,0.1,515.02
62,19,2990,0,0,2,1,0,2,0,152.25
58,58,2900,3,1,1,1,1,1,0.1,536.58
66,24,2460,6,2,1,1,1,3,0.26,456.72
55,15,2240,4,3,2,1,1,3,0.1,386.93
32,102,4590,6,3,1,0,1,5,0.18,417.92
18,22,3820,5,3,1,0,1,4,0.02,286.8
35,12,3350,5,0,4,1,1,3,0.1,476.66
51,13,4640,3,4,2,1,1,4,0.22,390.82
58,7,4030,4,2,3,0,1,5,0.2,368.34
69,58,2530,8,1,3,0,1,1,0.1,450.4
54,8,3930,3,2,3,1,1,4,0.23,305.99
24,34,2580,9,3,1,1,1,2,0.1,218.32
24,82,4680,5,4,4,0,1,2,0.04,559.65
47,101,3410,4,0,1,0,1,4,0.19,590.92
31,86,2740,9,2,1,1,1,5,0.19,439.47
57,91,3020,4,1,1,1,1,4,0.03,579.11
24,70,4130,6,2,1,0,1,3,0.16,551.7
41,97,4350,4,4,3,0,0,3,0,448.13
67,62,4610,5,3,4,1,1,1,0.26,455.81
24,97,3740,5,4,3,1,1,2,0.16,442.24
33,74,3220,4,2,4,0,1,5,0.15,374.2
23,43,4370,3,0,2,0,1,4,0.21,393.13
39,105,4030,4,2,4,1,1,1,0.14,420.43
58,38,2610,7,3,1,1,1,3,0.01,365.04
63,61,3130,5,1,2,0,1,5,0.11,502.58
28,80,3170,4,0,4,1,1,5,0.14,523.21
58,51,2560,7,2,1,1,1,4,0.01,303.95
31,104,2450,5,2,1,1,0,4,0,312.92
63,19,3130,6,3,4,1,1,2,0.14,541.52
33,34,3010,8,0,1,0,1,4,0.17,494.25
38,1,2940,5,2,2,0,0,4,0,450.13
19,106,3380,3,1,3,1,0,1,0,431.65
44,30,2520,4,2,2,0,1,1,0.17,333.21
27,11,3020,3,1,4,1,1,2,0.07,406.68
61,115,3680,2,3,1,0,1,1,0.22,583.85
36,23,2640,3,2,4,1,1,5,0.18,385.84
63,10,4450,8,0,3,1,1,3,0.19,544.82
25,57,2730,4,2,2,0,1,4,0.17,293.16
25,26,3570,5,4,4,0,0,3,0,179.04
19,88,2300,4,2,1,0,1,2,0.28,314.23
36,72,2110,2,3,2,1,0,2,0,517.02
21,49,2680,3,5,4,0,1,4,0.23,296.6
66,8,3280,4,1,3,0,0,2,0,267.02
35,96,3320,6,1,3,0,1,4,0.06,573.96
19,95,2890,5,0,4,0,1,5,0.01,531.75
45,50,3570,5,0,1,0,1,1,0.27,547.81
34,63,2010,3,2,1,1,1,2,0.25,502.16
37,66,1520,6,4,2,1,1,3,0.27,426.74
20,13,2500,7,7,2,0,0,5,0,252.51
22,3,3930,6,1,1,1,0,4,0,257.44
51,119,2270,2,7,4,1,1,5,0.01,490.29
59,82,2590,2,5,2,0,1,5,0.04,478.99
32,24,3580,8,3,3,0,1,3,0.21,276.78
32,48,2770,5,1,1,0,0,4,0,370.1
36,28,2310,6,2,1,1,1,2,0.18,351.91
32,73,2180,4,4,3,0,0,2,0,407.68
22,84,2510,5,1,3,0,1,4,0.05,212.93
18,3,2870,3,2,4,1,0,4,0,357.01
25,16,3700,3,6,4,0,1,2,0.23,285.82
67,108,3480,5,3,2,1,1,5,0.22,745.83
43,109,3090,11,1,4,0,1,3,0.05,440.63
39,11,3540,4,3,4,1,1,5,0.15,486.39
42,60,4410,4,2,2,1,1,4,0.27,661.42
38,73,3410,4,4,3,0,1,1,0.13,396.76
63,6,3040,5,3,2,0,0,2,0,266.16
24,13,2870,3,1,2,0,1,4,0.13,291.41
32,69,3690,5,4,1,1,1,1,0.25,505.33
29,104,2210,6,6,3,1,1,3,0.12,421.31
46,42,3290,7,4,4,0,1,4,0,368.38
39,36,2950,7,0,2,1,1,5,0.01,420.07
25,98,1820,5,1,2,0,1,4,0.05,332.02
25,68,3090,6,1,3,1,1,2,0.11,331.89
47,78,4160,5,3,2,0,1,1,0.1,555.01
31,50,3010,4,1,1,0,1,5,0.14,269.6
42,58,2990,7,0,4,1,0,4,0,433.87
24,112,3420,7,3,1,1,1,4,0.13,660.52
20,56,3050,6,1,3,1,1,4,0.13,399.03
50,23,2950,0,3,2,0,0,1,0,249.41
25,44,2680,3,4,3,1,1,2,0.2,433.03
67,118,2880,2,2,3,1,1,4,0.01,660.92
59,102,1910,3,1,2,0,1,1,0.01,548.49
31,51,3420,2,0,3,0,1,5,0.12,516.31
51,117,3290,5,2,4,0,1,5,0.14,639.84
45,66,4240,3,2,3,1,1,2,0.17,552.99
62,39,3110,5,1,1,1,1,1,0.23,475.71
30,8,3580,9,3,3,1,1,3,0.22,300.35
46,23,4080,6,3,1,0,1,5,0.26,521.2
59,108,2920,3,2,1,0,1,4,0.23,641.85
32,103,3650,6,0,2,1,1,3,0.21,421.31
51,89,3680,3,2,3,0,1,5,0.1,500.5
22,30,1690,4,0,3,0,1,4,0.02,117.2
66,46,3370,4,2,4,0,1,3,0.27,596.7
55,97,3240,6,2,3,0,0,4,0,582.17
27,91,2330,0,2,1,0,1,4,0.04,386.52
48,18,2590,11,3,2,1,0,4,0,212.84
41,94,3160,6,2,2,0,1,4,0.23,476.25
38,27,2890,4,2,4,0,1,3,0.16,360.31
39,49,2830,2,2,3,1,1,1,0.2,402.45
19,19,2810,5,2,2,1,1,4,0.04,355.58
43,34,2190,3,1,2,1,1,3,0.22,489.49
36,109,3850,7,1,4,0,0,4,0,467.4
36,20,3310,5,2,3,0,1,4,0.15,245.63
24,110,2440,4,1,3,1,1,1,0.17,508.31
57,97,2560,6,3,3,1,1,3,0.09,466.09
55,58,3140,6,0,4,0,1,4,0.17,496.02
54,76,3430,8,1,4,0,1,1,0.12,402.39
58,49,3390,3,1,1,1,1,4,0.04,427.61
43,54,3130,6,3,4,1,1,3,0.11,487.11
22,75,3030,5,1,3,0,1,5,0.11,564.14
19,59,3460,4,1,2,0,1,4,0.21,366.79
67,59,3520,9,1,2,1,1,4,0.06,637.73
57,35,2580,3,1,4,0,0,3,0,235.13
45,35,3660,4,2,3,1,0,2,0,403.15
53,50,3490,6,3,4,0,0,5,0,474.93
47,63,3780,7,1,2,1,1,3,0.3,556.56
60,84,4580,3,2,4,0,0,1,0,345.53
31,46,3090,5,1,3,0,1,2,0.29,212.66
49,81,3240,4,2,1,1,1,5,0.25,561.88
55,10,3430,4,2,2,1,1,4,0.15,307.26
69,10,2640,4,3,1,0,1,1,0.19,341.93
67,98,3660,8,1,2,0,1,3,0.22,796.53
48,76,3220,7,3,2,1,1,4,0.07,521.77
58,74,2310,4,1,4,1,1,3,0.02,611.97
66,117,3500,3,3,2,0,0,4,0,481.54
48,22,3300,3,1,2,0,1,2,0.11,286.99
57,88,2610,5,1,1,0,1,1,0.15,702.64
65,48,4110,6,6,4,0,1,5,0.21,511.94
48,23,2710,6,1,4,1,0,5,0,525.1
62,111,2620,4,2,2,0,1,4,0.07,425.57
47,70,3160,6,1,1,1,1,4,0.23,400.94
54,92,3090,3,1,3,0,1,4,0.11,456.64
40,101,3380,6,3,1,1,1,4,0.06,614.5
19,83,1420,4,1,2,1,1,4,0.2,309.97
30,63,4290,3,4,4,1,0,4,0,540.36
34,119,2360,7,1,1,1,1,3,0,503.2
64,7,2150,7,0,4,1,1,3,0.29,645
36,5,3690,6,3,2,0,0,4,0,155.16
61,13,4020,4,1,1,1,1,4,0.1,506.1
19,56,3840,3,1,1,1,1,4,0.16,691.42
60,108,4140,3,1,1,0,1,4,0.29,648.47
66,89,3770,11,3,1,1,1,5,0.12,526.79
33,67,2460,12,2,2,1,1,4,0.17,595.95
60,61,2770,6,1,1,1,0,5,0,452.22
66,59,1870,5,2,2,1,1,4,0.01,574.48
29,53,2660,6,3,1,0,0,5,0,250.47
45,48,2850,3,3,1,0,0,2,0,337.68
69,59,1380,6,2,1,1,1,5,0.14,444.56
30,85,3850,8,2,1,1,1,3,0.03,466.07
30,56,2110,3,2,3,0,1,3,0.05,341.79
23,39,2670,7,0,1,0,1,4,0.05,194.97
68,14,1780,7,1,3,1,1,4,0.12,504.02
30,70,3350,7,1,1,0,0,4,0,455.47
54,116,3750,1,7,3,0,1,3,0.02,385.98
50,118,2700,4,5,4,0,1,1,0.11,489.06
41,89,2300,8,3,1,0,1,5,0.08,664.77
29,81,3100,3,2,2,1,0,3,0,499.31
31,80,3510,7,3,3,1,1,3,0.04,399.77
48,11,3800,5,1,2,1,1,4,0.18,521.92
38,43,2610,10,2,2,0,1,5,0.26,467.94
34,100,3050,3,3,4,0,1,1,0.2,419.07
64,79,3090,2,5,4,0,1,2,0.09,437.03
24,115,2730,5,2,3,0,1,2,0.14,528.71
36,22,4150,4,2,4,1,1,5,0.03,353.5
64,67,3760,3,3,3,0,0,5,0,321.71
64,14,4280,6,3,2,1,1,4,0.21,566.34
43,113,3200,3,1,1,0,1,4,0,553.48
55,15,3400,5,1,3,1,1,5,0.25,526.68
58,20,2480,6,0,4,0,1,1,0.06,348.72
51,6,2610,8,1,3,0,1,1,0.26,429.95
25,61,2400,7,4,4,1,1,1,0.03,294.46
38,106,3320,9,3,4,0,1,4,0.25,681.37
40,10,3260,4,3,4,0,0,3,0,344.43
50,77,2930,4,5,3,0,1,2,0.15,410.23
68,38,3450,1,1,4,1,1,1,0.27,547.89
54,48,3720,5,2,2,1,1,5,0.01,579.07
34,75,2490,5,0,1,0,1,2,0.11,493.45
62,107,3870,5,1,2,0,1,4,0.17,760.21
24,80,3060,5,1,2,0,1,3,0.14,615.45
35,64,3130,4,2,4,0,1,4,0.02,405.15
53,56,3700,4,2,2,1,1,5,0.18,557.63
64,66,3280,2,3,3,0,1,4,0.21,616.08
39,77,1750,5,1,3,1,1,3,0.23,373.83
53,91,3660,3,2,2,0,1,5,0.22,584.27
54,33,2220,2,1,1,1,1,5,0.18,486.22
62,41,2980,5,4,4,0,1,4,0.01,542.5
19,22,3530,5,3,4,1,1,5,0.19,384.52
35,4,4100,7,1,2,0,0,3,0,181.69
22,91,2980,3,1,2,1,0,2,0,637.31
22,108,3550,3,2,1,0,1,3,0.22,635.51
55,56,2970,7,2,3,1,1,2,0.12,534.42
47,3,2150,8,2,3,1,1,5,0.09,348.29
47,71,4130,1,4,3,0,1,4,0.19,419.39
21,76,3310,6,0,4,1,1,4,0.23,522.88
45,64,2930,4,3,2,1,1,4,0.23,407.38
57,65,940,5,2,4,0,1,2,0.16,356.11
55,59,2560,5,3,3,0,1,4,0.28,454.22
59,55,3590,3,2,3,0,0,4,0,341.91
53,100,4280,5,6,1,0,1,3,0.14,408.01
39,114,2190,4,4,1,0,1,4,0.15,315.79
67,8,4160,8,2,2,1,1,5,0.1,294.63
68,108,2840,6,2,1,0,1,3,0.25,630.58
36,71,1970,7,3,2,0,0,4,0,273.26
47,78,4060,6,3,4,1,1,3,0.28,539.01
64,15,4310,5,0,1,1,1,2,0.07,371.02
36,4,2910,7,1,3,1,1,4,0.01,321.45
51,71,1940,11,5,2,1,1,2,0.14,347.62
55,27,3430,4,2,4,1,1,2,0.02,391.22
33,23,1370,4,1,4,0,1,5,0.18,279.75
48,18,3510,5,3,4,1,1,3,0.13,334.47
54,34,2230,5,2,2,0,1,4,0.09,337.45
57,93,2320,7,4,3,1,1,3,0.25,451.34
67,39,3320,3,1,3,1,1,3,0.07,473.14
40,45,2850,3,4,2,0,0,1,0,217.61
46,28,2370,1,0,4,0,1,2,0.28,342.18
48,101,1640,0,2,1,0,1,5,0.01,409.58
41,78,2190,6,1,3,1,1,4,0.27,448.94
25,119,3220,4,0,4,0,0,4,0,495.69
28,33,3380,1,1,4,0,1,1,0.22,311.87
64,69,2520,2,2,4,0,1,4,0.18,616.7
55,24,3880,4,3,4,1,1,1,0.17,457.71
41,49,2710,6,1,4,0,0,3,0,345.83
32,14,2190,9,2,3,0,0,3,0,342.75
69,26,2990,4,1,4,0,1,1,0.15,483.76
59,113,2400,4,2,3,0,1,4,0.02,406.59
55,61,4130,6,6,3,1,1,4,0.13,172.7
33,113,3150,7,6,4,1,1,4,0.16,605.31
19,59,3320,3,2,1,0,1,4,0.08,275.67
28,59,1910,9,1,2,0,1,4,0.09,346.94
63,21,2880,4,3,1,0,1,2,0.21,445.45
36,29,2140,6,2,4,1,1,4,0.06,647.67
32,80,1650,4,1,2,0,1,5,0.23,437.73
36,89,4050,4,2,1,0,1,4,0.24,527.26
35,53,2630,5,2,3,1,1,4,0.11,309.73
24,83,3700,4,1,3,0,1,2,0.21,535.71
26,26,3130,1,2,2,1,1,5,0.08,241.96
33,21,2830,4,2,1,0,1,3,0.26,302.68
24,46,2500,3,1,2,1,1,5,0.02,386.25
24,28,3430,8,3,3,0,1,4,0.28,394.93
19,72,1920,6,1,3,1,1,3,0.01,458.29
38,7,2660,4,1,3,0,0,2,0,212.4
52,74,2400,4,5,2,0,1,3,0.18,419.7
35,82,2770,3,4,2,1,1,2,0.3,439.72
49,85,3590,3,3,2,1,1,2,0.27,533.41
26,61,1580,4,0,1,0,1,4,0.28,220.52
45,56,3660,4,0,2,1,1,5,0,368.72
52,31,3240,5,0,3,0,1,3,0.02,396.34
68,40,4160,5,3,4,1,0,3,0,362.66
69,27,3860,5,0,4,1,1,4,0.07,323.94
30,31,2190,5,2,2,1,1,3,0.23,555.37
38,114,3280,11,1,3,1,1,5,0.11,610.04
62,78,3210,5,1,3,0,1,4,0.17,425.65
58,63,5020,1,1,1,0,1,3,0.02,595.37
65,29,3140,6,1,2,0,1,3,0.08,332.1
43,14,2410,4,2,1,1,1,5,0.1,260.82
60,48,3440,4,0,2,0,1,4,0.18,416.57
35,81,2340,1,1,1,0,1,1,0.08,446.3
19,2,3770,4,2,1,0,0,2,0,181.06
38,4,4770,4,2,4,1,1,1,0.28,469.3
36,64,2030,6,4,4,0,1,4,0.16,403.51
65,38,3130,7,1,3,1,1,3,0.25,767.93
23,9,3100,6,2,1,1,0,4,0,271.19
29,33,3570,6,1,1,0,1,4,0.21,448.09
24,52,3230,2,2,2,0,0,1,0,257.87
30,32,2360,6,3,2,1,1,3,0.21,142.68
69,43,1580,6,3,3,0,1,5,0.11,415.93
62,73,1360,4,1,3,1,1,2,0.21,500.28
22,25,1870,5,2,1,0,1,2,0.14,355.37
20,115,2500,5,4,4,0,1,5,0.15,510.7
57,90,2350,5,1,3,1,1,4,0.28,559.7
59,98,2150,4,3,4,1,1,4,0,639.29
27,32,2740,7,4,3,1,1,4,0.28,296.34
40,48,3450,3,2,2,0,1,3,0.26,610.83
54,50,5020,6,3,3,0,1,5,0.08,506.95
65,19,3340,6,3,4,1,1,5,0.25,421.65
45,75,2820,6,1,3,0,0,3,0,300.14
35,40,1640,4,3,4,0,1,3,0.01,288.36
62,98,3150,5,3,2,0,1,1,0.21,513.12
33,94,2970,4,0,3,0,0,4,0,497.37
48,28,4870,8,1,1,1,1,3,0.28,475.21
35,30,2240,1,1,3,0,1,1,0.13,477.45
58,96,3040,4,2,1,0,1,2,0.07,544.24
22,33,4060,3,4,4,0,1,5,0.09,433.58
42,10,3040,10,2,2,1,1,4,0.21,284.83
53,41,3320,3,1,1,1,1,5,0.02,483.75
29,70,3360,2,1,4,0,0,4,0,442.64
49,114,4300,4,1,1,0,1,2,0.02,592.13
37,106,1880,4,1,1,1,1,1,0.12,176.4
54,19,3290,7,1,2,1,1,3,0.29,453.6
32,42,2200,4,3,4,0,1,4,0.27,254.85
19,90,2610,8,0,1,1,1,4,0.02,370.38
29,45,2270,4,1,2,1,1,5,0.18,438.87
68,56,3240,4,0,4,0,0,3,0,453.01
29,55,3730,5,3,1,0,1,2,0.24,433.71
62,31,3130,3,2,1,0,1,5,0.08,393.69
52,100,4600,11,3,2,0,1,5,0.26,597.69
63,55,3270,10,3,4,1,1,5,0.27,652.86
52,95,1730,4,0,2,1,1,3,0.11,422.97
68,79,3140,9,2,1,1,1,5,0.03,466.16
33,104,1520,7,0,4,1,1,3,0.01,489.94
48,35,3110,3,3,1,1,1,5,0.16,296.72
62,8,2810,5,3,1,1,1,2,0.23,359.68
33,49,2870,3,4,4,1,1,4,0.24,549.89
48,72,3370,3,2,1,0,1,4,0.03,370.72
22,94,3250,7,1,3,1,1,1,0.03,509.22
66,91,4040,4,2,1,0,1,4,0.17,629.3
38,14,3240,6,2,1,0,1,3,0.22,353.6
36,84,2350,9,3,3,0,1,2,0.06,440.81
50,112,3020,5,2,2,0,1,4,0.1,394.96
18,8,2230,3,2,2,0,0,3,0,211.46
61,94,3110,3,1,2,0,1,4,0.26,366.8
22,49,3730,5,3,4,1,1,5,0.03,283.26
32,26,1500,4,4,1,1,1,4,0.02,209.4
34,60,3100,3,3,4,1,1,3,0.21,543.34
55,108,2910,5,2,3,1,1,2,0.3,534.97
25,103,2900,3,1,3,1,1,5,0.04,412.95
51,69,1800,4,2,2,0,1,4,0.07,321.83
51,117,2350,3,1,2,0,1,2,0.14,500.4
61,14,2270,1,2,1,0,0,4,0,300.83
53,110,1840,1,1,2,1,0,1,0,445.95
53,51,3160,4,2,2,1,0,3,0,322.47
51,3,2520,4,0,4,0,1,5,0.11,483.56
34,67,2640,9,1,3,1,1,3,0.19,644.41
51,70,3460,5,1,2,1,1,5,0.24,499.53
25,118,3990,3,1,2,1,1,3,0.19,508.74
39,61,2240,2,5,4,0,1,4,0.01,470.03
66,118,4230,2,2,4,0,1,4,0.29,827.93
