Age,Department,Salary,YearsAtCompany,WorkLifeBalance,JobInvolvement,PerformanceRating,TrainingTimesLastYear,Satisfaction
31,HR,5142,14,1,5,5,2,1
38,Marketing,3454,16,2,1,5,0,0
31,HR,3950,13,1,5,5,0,1
38,HR,4326,13,5,2,5,1,1
41,Sales,5629,17,3,2,5,3,1
45,IT,4161,19,5,1,5,2,1
26,Marketing,3605,17,3,5,4,3,1
55,Finance,3476,15,4,2,2,1,0
27,Finance,3962,0,2,4,4,4,0
23,HR,3090,10,4,3,3,0,0
34,Sales,4028,14,3,3,4,2,1
32,Sales,3947,11,3,2,5,4,1
44,Finance,5641,7,3,5,4,1,1
37,Marketing,3916,19,1,2,2,3,0
52,IT,2075,5,2,5,3,0,0
32,Marketing,6673,2,4,4,4,2,1
37,IT,4956,12,4,5,2,4,1
29,Finance,6082,12,5,2,4,4,1
25,IT,2842,1,3,4,3,0,0
25,Sales,3778,4,3,1,4,3,0
46,HR,4674,16,3,3,5,1,1
24,HR,4536,5,4,2,4,3,1
53,Finance,4306,1,5,2,2,3,0
24,Sales,1800,3,1,2,4,3,0
48,Marketing,2287,10,2,4,2,0,0
50,Sales,5517,7,1,1,3,0,0
53,HR,5695,11,4,5,4,1,1
40,HR,3893,7,3,1,3,3,0
42,Sales,5390,10,2,4,3,0,0
26,Sales,2976,19,4,2,4,1,1
39,HR,3205,7,4,3,2,1,0
49,Marketing,2897,7,4,2,3,3,0
43,Finance,3150,16,2,5,3,2,0
42,Finance,4722,19,2,3,4,3,1
27,Sales,3137,19,5,2,4,2,1
22,Finance,6239,15,5,3,4,1,1
26,HR,4460,13,1,1,4,0,1
33,HR,5084,10,2,4,4,4,1
47,Sales,4489,6,2,2,5,1,1
55,Sales,5214,15,2,5,4,0,1
35,Sales,3132,12,5,1,2,1,0
47,Marketing,5446,14,4,2,3,3,1
48,Finance,4140,15,3,1,2,2,0
30,Sales,5209,8,5,5,2,1,1
47,IT,2560,2,2,2,5,0,0
43,IT,4180,18,5,5,4,3,1
51,HR,4145,19,1,3,3,4,0
38,Finance,3380,4,2,5,2,3,0
47,Sales,4313,9,1,3,4,2,1
57,IT,5539,16,2,2,4,3,1
22,Finance,3303,14,5,3,5,4,1
29,HR,4961,7,4,2,5,0,1
56,Marketing,2872,14,3,2,5,1,0
36,Finance,6109,13,1,4,3,2,0
43,Finance,4784,19,5,2,2,4,1
35,Marketing,5725,6,4,3,5,2,1
47,Finance,4672,11,5,4,5,3,1
49,HR,4390,16,1,4,5,2,1
44,HR,4792,16,3,2,2,4,0
35,Marketing,3863,9,5,5,2,1,1
45,Sales,2382,18,2,5,5,1,0
23,IT,4447,13,4,4,5,2,1
47,Sales,3244,10,5,2,4,0,1
35,Finance,2898,1,4,5,5,2,0
28,IT,4636,17,2,2,3,3,0
24,Marketing,3720,6,3,2,3,1,0
44,Marketing,5027,11,3,4,5,1,1
39,IT,3211,1,2,4,2,1,0
59,HR,3529,19,4,1,4,0,1
56,IT,5150,17,5,5,2,0,1
36,Finance,4279,5,2,5,5,4,0
46,HR,2522,9,1,5,3,2,0
58,Marketing,4257,19,4,3,4,2,1
49,IT,5481,14,3,2,2,3,0
31,Sales,3521,4,2,4,2,1,0
38,Sales,4598,19,3,5,5,0,1
43,Finance,3150,2,4,1,4,3,0
47,Sales,3863,4,3,5,3,3,0
46,IT,5089,7,2,2,5,0,1
38,IT,4219,7,4,2,4,2,1
34,Sales,5289,7,1,4,2,1,0
41,IT,4425,11,2,3,5,2,1
46,Finance,6218,7,5,4,2,3,1
25,HR,2435,10,2,5,2,1,0
31,Finance,3782,13,4,1,5,4,1
24,Finance,2915,7,2,4,5,3,0
39,IT,2983,9,1,3,5,2,0
57,HR,2992,6,1,4,5,2,0
43,IT,4167,16,5,2,5,2,1
55,Marketing,4226,3,3,5,2,0,0
29,IT,4427,12,4,5,3,3,1
40,IT,2876,3,4,5,3,1,0
58,IT,3675,4,3,5,5,2,0
27,HR,3035,3,1,5,2,2,0
47,IT,4935,17,1,5,3,0,0
55,HR,3129,5,2,1,3,1,0
27,Sales,3786,1,5,3,3,3,0
58,Marketing,4560,10,5,5,2,4,1
54,HR,3384,13,5,3,5,0,1
43,Sales,4693,4,2,5,5,3,0
42,HR,5596,5,5,4,5,4,1
27,HR,4189,9,3,5,4,2,1
27,Marketing,4901,7,2,2,4,2,1
25,Finance,1926,13,3,1,4,1,0
51,Finance,3570,2,2,4,2,4,0
32,HR,4184,11,5,4,3,2,1
51,IT,2947,15,3,2,3,2,0
52,Sales,4207,16,3,5,2,1,0
45,IT,5059,0,3,1,2,3,0
30,IT,2120,9,2,4,5,2,0
24,HR,2810,9,4,1,5,0,1
52,HR,4184,1,5,4,4,0,1
58,HR,4460,8,3,5,4,3,1
57,HR,4738,12,4,4,2,4,1
45,Finance,4110,15,5,4,4,1,1
52,HR,4461,17,5,3,3,0,1
27,Finance,4903,18,3,5,2,0,0
23,Finance,3585,11,3,2,2,3,0
41,HR,3391,7,2,2,3,4,0
49,Marketing,3831,16,4,5,5,4,1
32,Sales,4199,14,4,2,5,3,1
25,IT,3341,9,3,5,3,0,0
36,Finance,3606,14,5,2,3,1,1
27,Sales,4397,14,3,3,4,0,1
51,Marketing,4157,6,5,2,2,4,1
59,IT,3814,12,5,4,4,0,1
23,IT,2258,16,3,5,3,1,0
36,Finance,3996,8,1,1,4,2,1
32,HR,3029,7,4,1,3,0,0
29,Marketing,4983,19,5,5,4,3,1
47,Finance,3691,17,5,3,4,2,1
26,Marketing,3003,12,1,2,5,3,0
27,HR,3938,15,2,3,3,3,0
47,HR,5270,8,1,1,4,3,1
25,Finance,4630,11,1,5,2,0,0
40,HR,4219,11,5,5,4,4,1
41,Sales,2673,5,4,3,4,2,0
54,IT,5621,18,1,3,2,1,0
41,Finance,3378,6,2,2,3,4,0
33,Marketing,4933,2,3,4,5,0,0
22,Sales,3674,15,1,4,5,3,1
47,Finance,4837,17,1,2,5,1,1
35,HR,5306,15,2,4,2,2,0
59,HR,4648,6,4,1,4,4,1
58,HR,4755,3,1,4,3,4,0
32,HR,3901,7,1,2,4,1,1
57,Marketing,3566,12,4,4,5,0,1
34,Sales,4138,12,2,5,4,2,1
24,IT,3660,16,1,3,2,1,0
54,Marketing,6467,16,4,1,2,3,1
27,Marketing,3007,4,1,5,3,2,0
31,IT,5002,5,3,5,3,4,0
26,IT,4517,18,5,2,5,1,1
44,HR,4229,12,3,3,3,4,0
31,Marketing,5479,13,1,3,4,4,1
23,Finance,4298,3,2,1,2,4,0
34,IT,3365,6,5,2,2,0,0
23,IT,4291,7,3,1,2,4,0
41,Sales,3816,12,4,4,3,3,1
22,Finance,4503,5,2,5,2,3,0
58,Finance,4813,5,3,1,2,2,0
30,IT,3140,2,4,5,2,4,0
38,HR,5195,2,1,2,5,4,0
30,Sales,3745,12,4,4,5,1,1
32,Finance,4443,1,3,2,3,0,0
36,IT,4617,15,3,4,2,2,0
45,Finance,4367,5,1,4,3,4,0
59,Sales,3890,7,4,5,2,1,1
56,Sales,3511,7,4,2,2,0,1
51,Marketing,3731,5,1,2,2,2,0
52,IT,5565,13,4,1,3,2,1
26,Sales,3134,2,1,2,3,4,0
35,Marketing,3280,9,2,1,2,2,0
32,Marketing,3236,2,3,3,4,1,0
30,Finance,4135,11,2,3,3,2,0
55,Finance,2475,16,5,3,5,3,1
33,Marketing,2646,4,5,2,3,1,0
56,Finance,3739,19,5,2,2,0,1
56,Sales,2712,8,1,1,4,0,0
22,HR,2793,19,4,4,2,4,0
43,Sales,2719,6,2,1,5,4,0
50,Marketing,3153,3,2,3,3,3,0
29,Marketing,4731,12,2,1,3,0,0
32,Sales,4955,12,2,4,2,0,0
58,Finance,5919,9,5,2,2,0,1
35,Finance,5882,17,2,1,5,0,1
51,Marketing,4786,16,4,3,4,2,1
56,IT,5027,19,5,3,5,1,1
42,Finance,4131,19,2,2,4,1,1
58,Sales,4519,12,1,1,3,3,0
26,Finance,5943,16,3,4,4,2,1
40,Sales,4371,3,3,2,4,0,0
35,Marketing,5153,0,3,1,3,0,0
47,Finance,3065,0,5,5,3,4,0
25,Sales,3333,14,2,3,3,4,0
46,Marketing,4312,12,5,4,5,3,1
46,IT,4149,16,4,4,3,0,1
39,Sales,3380,7,1,4,2,3,0
29,IT,6407,17,1,3,3,2,0
35,IT,4172,12,3,1,3,1,0
53,HR,3557,13,3,2,3,0,0
59,Finance,4151,7,3,1,4,2,1
54,Sales,4025,7,2,2,5,0,1
44,IT,4187,14,4,4,3,4,1
36,HR,2406,12,4,1,5,3,1
54,Marketing,5291,6,4,4,2,4,1
46,Sales,5348,4,4,5,2,1,0
38,IT,5470,16,3,4,3,4,0
54,Finance,4325,15,1,4,2,0,0
23,HR,4662,1,3,2,5,4,0
35,IT,3133,17,4,5,4,0,1
27,Finance,4832,16,3,4,3,1,0
27,IT,4251,6,4,4,2,4,1
24,Sales,3539,12,5,5,5,3,1
28,Sales,4864,17,1,5,5,3,1
29,Sales,4903,13,5,1,2,3,1
36,HR,4060,17,2,2,5,4,1
50,Sales,4438,12,3,5,5,4,1
54,Finance,2968,10,2,5,3,4,0
51,IT,5243,15,3,3,5,0,1
48,Marketing,3101,16,5,5,2,1,0
57,Finance,3294,7,4,2,3,3,0
50,Finance,4062,18,4,4,2,0,1
59,Sales,5114,19,3,4,4,3,1
54,HR,5113,14,4,4,2,0,1
58,IT,3995,8,5,4,2,4,1
48,HR,4773,19,4,3,3,3,1
54,IT,2310,9,5,5,5,4,1
25,IT,3280,11,2,4,2,3,0
43,HR,3301,19,5,1,3,2,0
23,Finance,5252,0,1,4,4,0,0
31,IT,4654,19,1,5,3,2,0
26,HR,4184,8,1,4,3,0,0
31,IT,4281,14,3,3,5,1,1
54,Marketing,5568,0,3,2,2,3,0
59,Finance,3829,11,3,2,4,1,1
34,Sales,2685,2,5,5,3,1,0
52,IT,5087,10,3,2,2,0,0
57,Marketing,4181,1,2,2,2,2,0
45,Sales,4953,15,1,1,3,4,0
36,Sales,3955,8,5,5,2,0,1
50,IT,3161,14,1,5,3,4,0
29,HR,4402,11,3,2,3,1,0
26,IT,4010,0,5,2,3,4,0
50,Marketing,4184,12,4,2,4,2,1
25,Sales,5616,13,2,3,3,0,0
33,IT,2901,7,3,4,5,2,0
23,HR,4285,7,3,3,2,2,0
48,IT,3181,11,2,5,4,0,0
52,Finance,1409,0,2,1,2,2,0
57,HR,3951,10,4,4,4,3,1
57,Marketing,4031,7,3,1,5,3,1
47,Sales,4623,9,3,5,4,3,1
48,IT,3782,18,1,5,4,4,1
26,HR,2510,10,5,1,4,2,1
41,Finance,3177,6,5,1,2,0,0
32,HR,5316,10,1,1,3,0,0
31,Finance,3163,16,5,5,2,4,0
59,Marketing,5583,0,2,2,3,0,0
27,Sales,5049,7,5,1,2,3,1
29,Marketing,3682,5,5,4,5,2,1
44,IT,3270,17,1,5,5,0,0
47,HR,5047,5,4,3,4,0,1
33,Finance,3759,4,5,3,5,1,1
47,Finance,2454,12,5,4,4,1,1
34,HR,4562,18,4,2,3,1,1
39,HR,4417,7,1,1,5,2,1
46,IT,5137,8,4,5,3,3,1
54,Marketing,4349,16,1,1,2,3,0
33,Finance,3450,2,2,5,3,3,0
57,IT,5269,18,1,3,2,2,0
25,Marketing,5366,10,2,1,3,2,0
26,IT,4233,16,2,4,3,1,0
58,Finance,4060,18,1,2,5,0,1
29,HR,2676,1,3,4,3,4,0
49,HR,3392,7,1,2,5,4,0
52,Marketing,4760,18,5,1,5,0,1
30,Sales,3442,6,5,1,4,1,1
50,Marketing,2543,16,3,2,4,0,0
35,Sales,7495,5,2,3,2,0,0
43,IT,2536,18,3,5,3,4,0
32,IT,6256,5,5,4,2,1,0
44,Finance,3692,1,3,4,3,2,0
22,Sales,3915,5,1,4,4,4,0
58,Finance,3327,4,3,1,4,2,0
42,HR,4782,18,2,4,3,1,0
47,Sales,2560,19,1,5,3,0,0
57,Marketing,2159,3,4,5,4,3,0
44,HR,5610,16,5,2,4,3,1
22,HR,3196,10,5,1,2,1,0
36,Marketing,4746,3,3,5,4,3,0
42,HR,2914,12,1,3,3,2,0
30,Sales,4708,19,4,1,2,3,1
30,Finance,5683,16,1,1,3,1,0
31,HR,3472,8,5,5,5,1,1
47,Sales,2066,3,1,3,2,2,0
56,IT,5688,13,4,2,3,3,1
46,Sales,4926,18,3,5,4,3,1
47,Finance,3526,2,2,3,5,0,0
32,Sales,3782,13,1,1,3,4,0
59,Marketing,2889,7,2,3,2,1,0
23,Finance,5420,0,5,1,3,0,0
28,IT,3465,9,3,5,5,1,0
39,Marketing,2581,17,3,5,2,0,0
48,Sales,4213,15,1,4,5,4,1
55,Finance,3139,7,3,4,3,0,0
48,IT,2969,0,1,4,4,1,0
38,Marketing,3569,11,1,5,4,3,1
45,IT,4086,7,2,2,3,1,0
46,Sales,2618,15,3,5,3,2,0
28,IT,5385,17,1,3,3,2,0
27,HR,4677,3,2,5,2,2,0
45,Marketing,3634,5,4,5,5,2,1
54,IT,3096,11,2,1,5,4,0
50,Sales,3910,8,2,1,5,3,1
43,Sales,4899,14,1,1,3,3,0
47,IT,4744,15,5,5,5,1,1
49,Sales,5058,11,5,2,3,0,1
42,Finance,3519,13,5,3,2,1,1
28,Finance,1075,12,2,3,4,1,0
38,Finance,5247,1,1,2,3,1,0
41,HR,3832,2,3,2,3,1,0
41,IT,4666,9,2,3,4,3,1
43,HR,5669,8,2,4,4,0,1
49,Sales,6434,19,1,1,2,1,0
28,HR,3350,7,4,1,5,3,1
22,Sales,4133,9,2,3,3,1,0
53,Sales,5366,18,4,2,5,2,1
34,Marketing,3155,2,4,4,3,1,0
51,Finance,3417,4,5,3,2,1,0
44,Sales,3411,2,1,1,4,4,0
40,Marketing,3971,15,4,5,2,2,1
53,Finance,3779,16,1,2,4,0,1
